,abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
0,"New York, New Jersey, Pennsylvania, Delaware, Connecticut, Massachusetts and Rhode Island will unite to purchase medical supplies.",2020-05-03T13:10:38+0000,News,1773,8.0,Seven States to Coordinate on Amassing Medical Equipment to Fight Coronavirus,New York,
1,"On our daily walks together, my young daughter and I begin to navigate a new reality.",2020-05-01T19:30:09+0000,Op-Ed,1481,10.0,The Courage to Be Alone,Opinion,Sunday Review
2,The small-scale events could create a road map to help the men’s and women’s tours return.,2020-05-01T05:00:06+0000,News,1279,8.0,Tennis Coming Back Slowly With Exhibition Matches,Sports,Tennis
3,"By ordering in, a political reporter continues to enjoy his favorite dishes from around the country.",2020-05-01T18:24:58+0000,News,1175,3.0,The Best Part of the Campaign Trail (the Food!) Comes Home,Food,
4,"You or your loved one is another year older no matter what, so why not celebrate?",2020-05-02T16:00:07+0000,News,1331,7.0,"Go Ahead, Blow Out the Candles on Zoom",Smarter Living,
5,"Nonprofit groups led by black and Latino directors lag behind peers with white leaders, but two leading philanthropic organizations hope to change that.",2020-05-01T13:00:08+0000,News,1318,9.0,"In Philanthropy, Race Is Still a Factor in Who Gets What, Study Shows",Your Money,
6,"With a crunchy shortbread crust and tangy curd filling, this rhubarb-filled confection is perfect for spring.",2020-05-01T15:35:17+0000,News,446,2.0,"Introducing Rhubarb Bars, Lemon Bars’ Pinker Cousins",Food,
7,"Weeks of speculation about Mr. Kim’s health brought home an alarming fact: No one knows who will control North Korea, or its nuclear weapons, should he die.",2020-05-02T08:16:16+0000,News,1188,21.0,Kim Jong-un Is Back. What Happens When He’s Really Gone?,World,Asia Pacific
8,"In Phil Bildner’s “A High Five for Glenn Burke,” the inventor of the world’s most popular celebratory gesture helps a budding baseball player accept himself for who he is.",2020-05-01T18:40:26+0000,Review,655,18.0,Pride at the Plate for a Little League All-Star,Books,Book Review
9,"The project, announced by the C.D.C., will help trace patterns of transmission, investigate outbreaks and map how the virus is evolving, which can affect a cure.",2020-05-01T02:30:33+0000,News,712,,Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,Science,
10,Cattle produce more methane than many large countries. A solution could be an ecological and financial breakthrough — and a Swiss biotech company may be on the cusp.,2020-05-01T09:00:47+0000,News,2800,1.0,The Business of Burps: Scientists Smell Profit in Cow Emissions,Business Day,
11,"Joe Robert Cole, the writer and director of a new Oakland-set Netflix drama discusses a high-energy sequence that takes place at a party-car-stunt display called a sideshow.",2020-05-01T13:03:03+0000,News,253,,How ‘All Day and a Night’ Dazzles With a Street Scene,Movies,
12,The writer and director Joe Robert Cole narrates a sequence from his film featuring Ashton Sanders.,2020-05-01T13:00:01+0000,Video,0,,‘All Day and a Night’ | Anatomy of a Scene,Movies,
13,21st century soccer is as much about the pursuit of style as success. But what defines what any of us find good to watch? And do we all have to enjoy the same thing?,2020-05-01T21:00:07+0000,News,2034,11.0,A Matter of Taste,Sports,Soccer
14,"Buskers, musicians and muralists have been entertaining London for centuries. But now the capital has gone quiet and the future of their activities looks uncertain.",2020-05-01T12:35:37+0000,News,1411,6.0,Can Street Artists Survive a City in Lockdown?,Arts,Art & Design
15,"Quotation of the Day for Saturday, May 2, 2020.",2020-05-02T02:20:23+0000,Quote,38,3.0,Quotation of the Day: Risky New Phase Brings Discord and Unease,Today’s Paper,
16,"In an interview, Dr. Vladimir Zelenko said he was guilty of nothing more than sloppy wording.",2020-05-01T22:36:56+0000,News,786,,Doctor Who Promoted Malarial Drug Draws Scrutiny of Federal Prosectors,U.S.,
17,The pandemic has laid bare the instability of the industrialized food chain.,2020-05-01T23:36:07+0000,Op-Ed,768,27.0,"A Shortage of Steak? Yes, and Ranchers Knew It Was Coming",Opinion,
18,"For now, the SAT and ACT are more democratic than many of the other metrics used to evaluate college applicants.",2020-05-01T09:00:21+0000,Op-Ed,1199,27.0,A Pandemic Isn’t a Reason to Abolish the SAT,Opinion,
19,"Lawmakers want to question Mr. Bezos, Amazon’s chief executive, as part of its antitrust investigation.",2020-05-01T14:55:37+0000,News,959,1.0,Congress Calls on Jeff Bezos of Amazon to Testify,Technology,
20,"In parts of Asia and Australia, people are going out — but social distancing and other restrictions have become the new normal.",2020-05-02T14:53:10+0000,News,1387,1.0,"No More Jenga, No More ‘Amen’ as Cities Learn to Live With Coronavirus",World,Asia Pacific
21,"Moderate Republicans in competitive districts are navigating a careful balance in addressing the coronavirus crisis, eager to put some distance between themselves and a president whose response has been criticized.",2020-05-02T09:00:15+0000,News,1529,10.0,"Fearing Political Peril, Republicans Edge Away From Trump on Pandemic Response",U.S.,Politics
22,He left my life when I needed him most. And then he came back.,2020-05-02T15:00:08+0000,Op-Ed,1252,7.0,The Father I Never Forgave,Opinion,Sunday Review
23,"“I just went down on my knees,” his mother recalled later. “I just implored God for mercy.”",2020-05-02T18:37:02+0000,Op-Ed,1289,9.0,"A Young Doctor, Fighting for His Life",Opinion,Sunday Review
24,"With partisan goggles, we plunge back into the muck.",2020-05-02T18:30:05+0000,Op-Ed,1113,9.0,Joe Says It Ain’t So,Opinion,Sunday Review
25,At first we thought the column could be a break from the coronavirus. A flood of submissions told us that wasn’t possible.,2020-05-02T01:14:57+0000,News,750,2.0,What Does Modern Love Mean in a Pandemic?,Reader Center,
26,It is just speeding up trends that were already underway.,2020-05-03T23:00:05+0000,Op-Ed,1803,23.0,The Pandemic Isn’t Changing Everything,Opinion,
27,Tara Reade’s allegations against Joe Biden demand action.,2020-05-03T19:00:07+0000,Op-Ed,986,,"Democrats, It’s Time to Consider a Plan B",Opinion,
28,"The still-unsolved Oakland County Child Killer case lodged in the author Megan Abbott’s psyche, even if she didn’t know it at the time.",2020-05-01T09:00:20+0000,News,1751,,‘The Streets Look So Empty’: How a Child Killer Haunted My First Novel,U.S.,
29,Scaling up the manufacturing of syringes and other medical products required to deliver a vaccine to millions of Americans will be just as important as the vaccine itself.,2020-05-01T09:00:27+0000,News,1213,4.0,Find a Vaccine. Next: Produce 300 Million Vials of It.,Health,
30,"The government said eight men had been killed and two captured in a foiled coup attempt, which officials attributed to Colombia and the United States.",2020-05-03T20:23:11+0000,News,613,16.0,Venezuelan Officials Claim to Have Stopped an Armed Incursion,World,Americas
31,Public health experts fear that their messaging could further harm the country’s response to the pandemic.,2020-05-03T01:06:52+0000,News,1199,11.0,Antivaccination Activists Are Growing Force at Virus Protests,U.S.,
32,He said he was in the “why-not” business. And his Radio Caroline became the soundtrack of British and European youth in the 1960s.,2020-05-03T15:44:04+0000,Obituary (Obit),1298,24.0,"Ronan O’Rahilly, Pioneer of Pirate Radio, Is Dead at 79",Arts,Music
33,"The president’s chief adviser on immigration, Stephen Miller, had long tried to halt migration based on public health, without success. Then came the coronavirus.",2020-05-03T21:35:31+0000,News,1573,1.0,"Before Covid-19, Trump Aide Sought to Use Disease to Close Borders",U.S.,
34,Educators at schools from Brown to Northern Arizona know the experience is lacking. So why won’t they give some money back?,2020-05-01T22:02:56+0000,News,1354,1.0,Colleges Won’t Refund Tuition. Autumn May Force a Reckoning.,Your Money,
35,"Simplest roast chicken, chocolate chip cookies and more recipes.",2020-05-02T14:30:00+0000,News,34,,41 Classic Dishes You Should Master,Admin,
36,The police said they had classified the deaths as a hate crime after the remains of two women were found in a badly burned car last week.,2020-05-01T00:05:01+0000,News,839,22.0,Two Arrested in Killings of Transgender Women in Puerto Rico,U.S.,
38,Here’s how to ask for accommodations.,2020-05-01T14:23:33+0000,News,1607,3.0,What Rights Do Pregnant Workers Have in a Pandemic?,Parenting,
39,"Godfrey Mwampembwa, popularly known as Gado, has been holding politicians accountable for nearly 30 years. Now, his concern has shifted to the coronavirus.",2020-05-01T13:36:23+0000,News,1183,19.0,Tanzanian Cartoonist Has a Stick for Every Powerful Eye,World,Africa
40,"New Yorkers with no better place to go keep riding and sleeping on otherwise empty trains, stirring public health fears and prompting a nightly shutdown for cleaning.",2020-05-02T09:00:11+0000,News,1496,1.0,Stark Symbol of Pandemic in N.Y.: Homeless People Huddled on the Subway,New York,
48,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.",2020-05-03T22:02:47+0000,News,326,,"What’s Going On in This Picture? | May 4, 2020",The Learning Network,
50,"Plus, how to stay connected.",2020-05-01T18:00:07+0000,News,346,,Love Letter: Living With Loneliness,Style,
54,Some producers acknowledge the efforts are “just a drop in the bucket” of what farmers can’t sell and are destroying instead.,2020-05-02T20:00:12+0000,News,910,1.0,‘We Had to Do Something’: Trying to Prevent Massive Food Waste,Business Day,
55,"Readers suggest that: businesses that reopen keep customer logs, everyone keep a daily diary and random sampling be done widely.",2020-05-03T16:00:03+0000,Letter,424,22.0,Tracing and Sampling to Monitor Covid-19,Opinion,Letters
56,"Readers predict a recovery that may be different from the city we knew. Also: Simple recipes, please; an economy that will rebound.",2020-05-03T16:00:07+0000,Letter,667,22.0,I’m Staying Put in New York. It’s Still Glorious.,Opinion,Letters
57,"Therapists in New York must deal with a parade of coronavirus-fueled anxieties, from their patients and from themselves.",2020-05-03T18:28:38+0000,News,1311,10.0,Therapists and Patients Find Common Ground: Virus-Fueled Anxiety,New York,
60,Shady Habash had been held without trial at a maximum-security prison for two years. His lawyer said the cause of death was unknown.,2020-05-02T12:48:46+0000,News,680,21.0,Filmmaker Who Mocked Egypt’s President Dies in Prison,World,Middle East
61,"Congress declined the administration’s offer of rapid testing, saying tests were needed more elsewhere. Former President George W. Bush urged unity in a video message.",2020-05-02T12:01:52+0000,News,6087,,Relaxed Rules and Warm Weather Test States,U.S.,
64,"When the most successful companies are anxious, you know we’re in scary times.",2020-05-01T17:26:57+0000,News,907,5.0,Big Tech’s Worries Should Worry You,Technology,
66,"“Moby-Dick” contained the author’s diagnosis, prognosis and prescription for the human condition. We didn’t listen.",2020-05-02T09:00:07+0000,News,1405,,Melville’s Whale Was a Warning We Failed to Heed,Books,Book Review
67,"All your questions about the pandemic, answered. Sort of.",2020-05-03T19:00:06+0000,Op-Ed,1677,,Flattening the Truth on Coronavirus,Opinion,
68,"As people resume going out in public in the middle of a pandemic, to wear or not to wear a face mask has become a personal statement and sometimes a political one.",2020-05-03T23:32:43+0000,News,1499,11.0,Masks Become a Flash Point in the Virus Culture Wars,U.S.,
69,"From Norway to Colorado, street artists depict a world of masks and hand-washing (and toilet paper). One recurrent theme: a deep appreciation of health care workers.",2020-05-01T09:00:30+0000,News,1159,2.0,Street Art Confronts the Pandemic,Travel,
71,"It was struggling before the coronavirus pandemic, but J. Crew is unlikely to be the last retailer to fall.",2020-05-03T22:44:44+0000,News,1340,1.0,J. Crew Files for Bankruptcy in Virus’s First Big Retail Casualty,Business Day,
72,"At the peak of the pandemic in New York, a longtime city employee joined a crush of patients in desperate need of treatment.",2020-05-01T09:00:28+0000,News,2357,1.0,A Life and Death Battle: 4 Days of Kidney Failure but No Dialysis,Health,
74,"Next time you cook chicken, don’t rely on the color of the meat to tell you if it’s cooked enough to avoid food poisoning.",2020-05-01T19:24:38+0000,News,847,4.0,Your Chicken Is No Longer Pink. That Doesn’t Mean It’s Safe to Eat.,Science,
75,"As calls for inquiries and reparations spread, Beijing has responded aggressively, mixing threats with aid and adding to a growing mistrust of China.",2020-05-03T10:17:19+0000,News,1407,6.0,Global Backlash Builds Against China Over Coronavirus,World,Europe
76,It’s easier to pick up the world’s best card game at home on your own.,2020-05-01T16:30:05+0000,News,403,5.0,Now Is the Time to Learn to Play Bridge,Smarter Living,
77,"From New York to Los Angeles, tenant groups are encouraging millions of renters to withhold May rent, which landlords warn would be devastating.",2020-05-01T07:00:08+0000,News,1129,18.0,#CancelRent Is New Rallying Cry for Tenants. Landlords Are Alarmed.,New York,
78,"During epidemics, war and national tragedy, baseball was medicine for the masses. During this crisis, we’re still waiting for the prescription to be filled.",2020-05-01T14:31:48+0000,News,869,9.0,The Healing Power of Baseball,Well,
79,"Even with the progress of #MeToo, women are called upon to defend their male colleagues. In the 2020 election, that can mean putting the movement itself on the line.",2020-05-02T16:25:06+0000,News,1963,1.0,"The Allegation Is Against Joe Biden, but the Burden Is on Women",U.S.,Politics
80,"You can use this time to address your dog’s behavioral issues, to make sure it has truly found its forever home.",2020-05-01T09:00:06+0000,News,837,2.0,Consider Virtual Dog Training for Your Pandemic Puppy,Well,
81,"Monique Collier Nickles and Leroy Nickles, physicians on the front line of the coronavirus pandemic, share why it’s more important than ever to have frequent relationship check-ins.",2020-05-02T09:00:12+0000,News,1237,,Married Doctors Learn to Meet in the Middle,Fashion & Style,Weddings
82,"Fiona Apple blows our minds, again.",2020-05-01T00:13:29+0000,News,146,,Fiona Ex Machina,Podcasts,
83,"The blogger and essayist reads her latest collection, “Wow, No Thank You.”",2020-05-01T09:00:06+0000,Review,1108,13.0,Some Personal News From Samantha Irby,Books,Book Review
84,"“The absolute most important thing is that they know that they’re cared about,” said a principal in Texas who drove 800 miles to visit each of his school’s 612 graduating seniors.",2020-05-03T20:54:01+0000,News,963,19.0,Principals Find Novel Ways to Honor Seniors During Shutdown,U.S.,
85,"Some Domino’s workers finally got Covid-19 protections, but it took an outbreak and a strike.",2020-05-03T19:00:05+0000,Op-Ed,189,,Domino’s Is Raking in Money. What About Its Employees?,Opinion,
86,"Living with an invisible outside threat, and no visible outlet, forced my daughter and me to negotiate and reconcile — and fast.",2020-05-01T09:00:16+0000,News,1098,,How Coronavirus Shifted the Stakes of Teenage Rebellion,Well,Family
87,Adm. Michael M. Gilday appears determined that his recommendations on the Roosevelt case will be made based on Navy principles and not on fears of what the White House might want.,2020-05-01T09:00:22+0000,News,1241,20.0,An Accidental Navy Chief Steers His Service Through a Storm,U.S.,Politics
88,The coronavirus is expected to permanently shut millions of small businesses in the next several months. Here are issues for owners to consider.,2020-05-01T09:00:19+0000,News,1641,3.0,When Does a Small Business File for Bankruptcy? And 8 More Questions,Business Day,
89,"Warming and gently spiced, this easy loaf cake comes together in just about an hour — and may not last nearly as long.",2020-05-01T16:42:51+0000,News,510,,This Snickerdoodle in Poundcake Form Is Your Next Baking Project,Food,
90,"If college athletes are permitted to cash in on their fame, how can the N.C.A.A. forbid guidance from people who have long worked in the shadows?",2020-05-01T04:30:08+0000,News,890,9.0,Will New N.C.A.A. Rules Really Keep Agents and Boosters at Bay?,Sports,
91,Trenton Charlson raises the curtain on our solving weekend.,2020-05-01T02:00:05+0000,News,942,,Closing Number of a Musical,Crosswords & Games,
92,What is this image saying? How does it relate to or comment on society or current events?,2020-05-01T07:00:02+0000,News,63,,Eyeballs,The Learning Network,
93,How can we learn to be connected even when we are feeling alone during the pandemic?,2020-05-01T12:09:12+0000,News,387,,Film Club: ‘What My Spacewalk Taught Me About Isolation’,The Learning Network,
94,Governor Cuomo said it was impossible to reopen schools “in a way that would keep our children and students and educators safe.”,2020-05-01T11:16:55+0000,News,2436,,New York Closes Schools Through End of Academic Year,New York,
95,"This month, fans may finally get a chance to see some real live sports on television, if not in person.",2020-05-01T20:05:23+0000,News,853,,"May: The Month That Sports, Kind of, Come Back",Sports,
96,"In this drama from one of the screenwriters of “Black Panther,” a young man embarks on a journey of belated self-discovery.",2020-05-01T07:01:04+0000,Review,416,12.0,‘All Day and a Night’ Review: Growth Behind Bars,Movies,
97,"Rules and store technology can impede Supplemental Nutrition Assistance Program recipients, but a pilot effort to expand access is picking up speed.",2020-05-01T09:00:28+0000,News,1118,5.0,"For Most Food Stamp Users, Online Shopping Isn’t an Option",Your Money,
98,The pandemic makes painfully clear that our economy must be reconfigured to be resilient in the face of disruption and change.,2020-05-01T09:00:15+0000,Op-Ed,1215,,Why Americans Need a Guaranteed Income,Opinion,
99,She was known as a fierce and powerful dancer. Her teaching style was similarly demanding.,2020-05-01T19:20:35+0000,Obituary (Obit),466,24.0,"Helen McGehee, a Martha Graham Dancer and Teacher, Dies at 98",Arts,Dance
100,"Because of his work, society began to accommodate those who kept kosher and observed the Sabbath.",2020-05-01T22:43:14+0000,Obituary (Obit),1138,25.0,"Marvin Schick, Advocate for the Orthodox Community, Dies at 85",New York,
101,"Laurie Hernandez won medals at the 2016 Games. But she said her love of the sport was tainted under training with Maggie Haney, who is now suspended by the sport’s American federation.",2020-05-01T23:04:18+0000,News,1621,10.0,Olympic Gymnast Recalls Emotional Abuse ‘So Twisted That I Thought It Couldn’t Be Real’,Sports,
102,The F.D.A. issued emergency approval for an antiviral drug. High school seniors appear reluctant to commit to a college for the fall.,2020-05-01T09:28:08+0000,News,5750,,"As More States Reopen, Protesters Chafe at Restrictions",U.S.,
103,"She didn’t want to go to Burning Man (for all the reasons people don’t), but then there she was, dancing naked in the desert, and it was good.",2020-05-01T04:00:07+0000,News,1547,5.0,"Making Space in Marriage, Even as the Walls Close In",Style,
104,"Plus: Once we all get back to work, let’s give our pets a vacation. Forever.",2020-05-01T09:00:16+0000,News,1109,3.0,Bored at Work? The Solution Involves a Small Orange Man,Business Day,
105,Drawing mundane things like my dish rack had helped me survive job loss. Could it be helping me through the coronavirus?,2020-05-01T09:00:11+0000,News,1285,,The Big Impact of a Small Hobby,Well,Mind
106,"Given a chance to ask questions of the attorney general, many users opted for insults or accusations.",2020-05-01T20:59:27+0000,News,617,22.0,Barr Defends Response to Virus in Stormy Twitter Session,U.S.,Politics
107,"A judge ruled that The Mail on Sunday would not be judged on whether it had acted dishonestly in publishing a letter from the Duchess of Sussex to her father, Thomas Markle.",2020-05-01T13:44:32+0000,News,602,19.0,Setback for Harry and Meghan in Legal Battle With U.K. Tabloids,World,Europe
108,Two doctors reflect on Dr. Lorna Breen’s death and the need for doctors to care for themselves as well as patients. Also: Jared Kushner on the virus; nursing home safety; schools and student anxiety.,2020-05-01T18:28:25+0000,Letter,917,26.0,A Suicide Highlighting the Stresses Doctors Face,Opinion,Letters
109,Prime Minister Justin Trudeau said the government had been in the process of introducing the ban when its agenda was overturned by the pandemic.,2020-05-01T17:32:39+0000,News,979,19.0,Canada Bans Assault Weapons in Wake of Deadly Mass Shooting,World,Canada
110,He brought both Elizabeth Taylor (in “The Little Foxes”) and Muhammad Ali (in a memorable flop) to Broadway. He was even busier in Florida.,2020-05-01T21:20:20+0000,Obituary (Obit),1185,21.0,"Zev Buffman, Prolific Theatrical Producer, Is Dead at 89",Theater,
111,Or will Democrats handle Tara Reade’s allegation the way Republicans would?,2020-05-01T20:51:45+0000,Op-Ed,1379,,Will Biden Play by the Rules?,Opinion,
112,Readers discuss how voters should regard Ms. Reade’s account of a 1993 incident in the Senate building.,2020-05-01T19:30:57+0000,Letter,433,26.0,Tara Reade’s Sexual Assault Claim Against Joe Biden,Opinion,Letters
113,"Instead of focusing on credentials, let’s give candidates the chance to showcase their will and skill to learn.",2020-05-01T13:44:51+0000,News,1084,,Job Interviews Are Broken. There’s a Way to Fix Them.,Smarter Living,
114,"For researchers using delicate, one-of-a-kind equipment, the extreme conditions at the bottom of the planet pose special challenges.",2020-05-02T09:00:19+0000,News,940,5.0,Antarctica vs. Science,Science,
115,"As states begin to loosen restrictions, the act of reopening will be carried out not by governors or the president, but the millions of individuals being asked to do it.",2020-05-01T18:41:56+0000,News,1515,16.0,Your Life or Your Livelihood: Americans Wrestle With Impossible Choice,U.S.,
116,"Secretary of State Mike Pompeo backed President Trump’s assertion that the coronavirus originated in a lab in Wuhan, though intelligence agencies say they have reached no conclusion on the issue.",2020-05-03T22:24:08+0000,News,978,9.0,"Pompeo Ties Coronavirus to China Lab, Despite Spy Agencies’ Uncertainty",U.S.,Politics
120,"The coronavirus pandemic has disrupted eating and fitness routines, potentially compounding the stress of those, including athletes, who have eating disorders.",2020-05-03T20:30:07+0000,News,1411,1.0,Disruptions Add to Risks for Athletes With Eating Disorders,Sports,
122,Cholera changed the face of Paris. Will Covid-19 change the streets of New York?,2020-05-01T09:00:28+0000,News,1019,3.0,Streets Should Be Car-Free During Lockdown. And After.,New York,
123,"Heavily dependent on advertising and circulation, local and regional newspapers in the U.K. could face financial ruin as a result of the coronavirus pandemic.",2020-05-03T19:04:19+0000,News,1031,3.0,"More Readers, Fewer Ads: Britain’s Local Newspapers Are Struggling",Business Day,Media
125,"Spring remains colorful, but unusually quiet, at some of the city’s botanical gardens as crews work to prune the beauty behind closed gates.",2020-05-01T15:00:09+0000,News,874,1.0,"At New York’s ‘Museums of Plants,’ the Art Is Blooming Lonely",Arts,
126,"Our retooled newsletter to start your day, intended to inform and amuse you just as before, will contain a few new voices, including mine. And I’m as big a fan of newsletters as anyone.",2020-05-03T22:59:54+0000,News,788,2.0,A New Companion for Your Morning,Reader Center,
127,"Most pantries are closed on Sundays, but Jorge Negron opens his to make and provide brown-bag lunches.",2020-05-01T09:00:30+0000,News,833,2.0,How a Food Bank Manager Spends His Sundays,New York,
128,"Under the collective bargaining agreement ratified in March, more than 400 retired players are set to see reductions to their monthly benefits.",2020-05-02T23:44:30+0000,News,610,,N.F.L. Players Union Will Review Disability Benefits,Sports,Pro Football
129,"With billions of people staying home, the world is reinventing the weekend.",2020-05-01T09:00:03+0000,Interactive Feature,0,8.0,The New Saturday Night,Arts,
132,"Fighting between the Indian Army and militants threatened to heighten hostilities in the disputed region, where near-daily skirmishes have raged for weeks.",2020-05-03T11:43:27+0000,News,512,16.0,Kashmir Gun Battle Kills at Least 7,World,Asia Pacific
138,"In Lebanon’s capital, it’s a point of pride that the party never stopped, even during war and protests. But will the dancing and drinking come back after the coronavirus lockdown?",2020-05-03T16:21:56+0000,News,1208,15.0,Beirut’s Nightlife Survived Civil War. Can It Withstand Pandemic?,World,Middle East
140,"The Russian president, who seems to share the traditional Soviet view of entrepreneurs as “swindlers,” is doing little to help them through a coronavirus lockdown.",2020-05-03T08:44:58+0000,News,1389,6.0,"As Putin Dallies, Russia’s Small Businesses Are Withering Away",World,Europe
141,"Along with making medical equipment, the car industry is finding ways to keep their customers safer, like coming to you when your car needs service.",2020-05-01T19:09:20+0000,News,1046,,How to Also Keep Your Car Healthy,Smarter Living,
144,"The president announced the nomination of an inspector general for the Department of Health and Human Services, who, if confirmed, would replace an acting official whose report embarrassed Mr. Trump.",2020-05-02T02:50:36+0000,News,859,12.0,Trump Moves to Replace Watchdog Who Identified Critical Medical Shortages,U.S.,Politics
145,"As the pandemic clears the calendar, curators around the world reimagine how — and if — we will gather for art.",2020-05-01T09:00:20+0000,News,1610,15.0,Art Biennials Were Testing Grounds. Now They Are Being Tested.,Arts,Art & Design
146,"But even as President Trump acknowledged that the coronavirus has been deadlier than he had previously predicted, he pressed to reopen the country.",2020-05-03T23:08:29+0000,News,1473,9.0,"Trump Foresees Virus Death Toll as High as 100,000 in the United States",U.S.,Politics
147,Insurance plans with H.S.A.s may also cover coronavirus testing while keeping the tax perks.,2020-05-01T13:00:08+0000,News,818,9.0,"Health Savings Accounts Add Options in Pandemic, Including Telehealth",Your Money,
148,"Paul Giamatti and Damian Lewis return for the fifth run of Showtime’s drama, while the third season of HBO’s sci-fi series wraps up.",2020-05-03T05:00:07+0000,News,481,33.0,What’s on TV Sunday: ‘Billions’ and ‘Westworld’,Arts,Television
149,The country’s economy is starting to reopen. But health officials warn against moving too fast.,2020-05-03T11:00:05+0000,News,725,2.0,The Week in Business: Who’s Ready to Go Shopping?,Business Day,
150,The former Google C.E.O. has reinvented himself as the prime liaison between Silicon Valley and the military-industrial complex.,2020-05-02T09:00:19+0000,News,2487,1.0,‘I Could Solve Most of Your Problems’: Eric Schmidt’s Pentagon Offensive,Technology,
151,"In short supply, the samples are essential for the creation of coronavirus antibody tests that can help end lockdowns. Several companies are racing to capitalize on that.",2020-05-01T18:17:14+0000,News,1583,6.0,"Blood Samples, Vital for Antibody Tests, Sold at Exorbitant Rates",World,Europe
153,"First step, actually open up those bank and credit card statements.",2020-05-02T07:00:07+0000,News,901,5.0,Track Where Your Money Goes,Smarter Living,
154,"There was good news and bad news for Britons on Friday in the statistical barometers of the pandemic, which experts say have become an understandable but misplaced fixation in the country.",2020-05-01T20:32:30+0000,News,1139,4.0,"U.K. Virus Tests Surpass Target, but Britain’s Deaths May Overtake Italy’s",World,Europe
155,He helped get National Lampoon off the ground and was a producer of the Lampoon franchise’s hit movies.,2020-05-01T20:00:39+0000,Obituary (Obit),1066,25.0,"Matty Simmons, a Force Behind ‘Animal House,’ Is Dead at 93",Business Day,Media
157,"Joseph R. Biden Jr., in his first public address of a former Senate aide’s accusation that he sexually assaulted her in 1993, called on the National Archives to release any document related to the allegation.",2020-05-01T09:00:17+0000,News,1706,1.0,Biden Denies Tara Reade’s Assault Allegation: ‘It Never Happened’,U.S.,Politics
159,"The drug failed as a treatment for hepatitis and Ebola. With federal funding, scientists trained it on the coronavirus.",2020-05-01T23:09:45+0000,News,1156,1.0,"How Remdesivir, New Hope for Covid-19 Patients, Was Resurrected",Health,
162,"David Rhodes, a news executive who has held leadership roles at CBS News and Bloomberg, has been advising the media empire’s British operation.",2020-05-01T22:36:08+0000,News,389,,A Onetime Leader of Fox News Returns to the Murdoch Fold,Business Day,Media
163,"In this comedy from Alice Wu, love letters reveal everything about a person, except their identity.",2020-05-01T07:01:04+0000,Review,296,5.0,"‘The Half of It’ Review: Being Yourself (and That Person, Too)",Movies,
164,"With dine-in restaurants shuttered and social distancing paramount, drive-throughs are now providing a crucial source of revenue during the pandemic.",2020-05-01T18:38:27+0000,News,1345,1.0,Drive-Throughs Are Now a Lifeline for Fast-Food Chains,Business Day,
165,People are seeking a bit of normalcy as governments wrestle with the shutdowns aimed at curbing the spread of the coronavirus.,2020-05-02T02:55:17+0000,News,839,,Photos of Life Transformed by a Pandemic,U.S.,
166,Sightings of the Asian giant hornet have prompted fears that the vicious insect could establish itself in the United States and devastate bee populations.,2020-05-02T09:00:13+0000,News,1351,22.0,‘Murder Hornets’ in the U.S.: The Rush to Stop the Asian Giant Hornet,U.S.,
167,Two NASA astronauts will now stay for more than a month and not two weeks during their first flight aboard the Crew Dragon capsule.,2020-05-01T21:04:53+0000,News,660,20.0,SpaceX to Bring Crew to Short-Staffed Space Station for Longer Stay,Science,
168,The orchestra’s concert on Friday used few players and observed social distancing guidelines.,2020-05-01T20:15:02+0000,Review,756,2.0,The Berlin Philharmonic Tests a Musical Path Out of Lockdown,Arts,Music
169,"Advice from Dad, and some experts, on what to do now that we’re driving so much less.",2020-05-03T10:00:05+0000,News,588,2.0,Maintenance Tips for a Virus-Idled Car,Business Day,
170,"Corrections that appeared in print on Sunday, May 3, 2020.",2020-05-03T13:45:32+0000,News,170,23.0,"Corrections: May 3, 2020",Corrections,
171,"The simple handshake, once an offer of peace, now carries a threat of contagion.",2020-05-02T15:00:03+0000,Op-Ed,924,,Let’s (Not) Shake on It,Opinion,
172,"Try to reach it without a vaccine, and millions will die.",2020-05-01T19:00:03+0000,Op-Ed,753,3.0,What the Proponents of ‘Natural’ Herd Immunity Don’t Say,Opinion,Sunday Review
173,"After the coronavirus, political transformation may be inevitable.",2020-05-02T15:00:13+0000,Op-Ed,1575,2.0,The New Great Depression Is Coming. Will There Be a New New Deal?,Opinion,Sunday Review
174,A devoted Yankees fan fell in love with the Washington Nationals. But Dr. Anthony S. Fauci concedes it’s going to be a while before he goes to another game.,2020-05-01T18:22:53+0000,News,1011,1.0,"Fauci, Leading Fight Against Coronavirus, Misses Baseball, Too",Sports,Baseball
175,Researchers have a plan to find out.,2020-05-02T18:30:06+0000,Op-Ed,804,3.0,Did Closing Schools Actually Help?,Sunday Review,
176,The latest on stock market and business news during the coronavirus outbreak.,2020-05-01T04:01:12+0000,News,2319,,U.S. Stocks End the Week Lower After Tech Earnings,Business Day,
177,"After 18 of our writers shared a silver lining during the pandemic, more than 300 people sent in submissions of their own luminous moments. Here’s a selection.",2020-05-03T08:00:57+0000,News,2657,12.0,One Bright Thing: Reader Edition,Reader Center,
