abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
"Yes, it’s been a weird year for movies, but our chief critics have still found plenty of gems. Here are their top picks.",2020-05-22T19:29:28+0000,News,999,,"The Best Films of 2020 (So Far), and They’re All Streaming",Movies,
"After laboring for years in his small Brooklyn apartment, he had his first New York gallery show when he was 64. He died from complications of Covid-19.",2020-05-23T22:32:16+0000,Obituary (Obit),906,24,"Rafael Leonardo Black, Solitary and Self-Trained Artist, Dies at 71",Arts,
"About now the festival jury would be weighing its choices. So our critics singled out highlights from more than 70 years of festival glory, as well as a few less-than-stellar prizewinners.",2020-05-22T17:41:22+0000,News,1117,4,8 Cannes Film Festival Prizewinners We Love (and 3 We Don’t),Movies,
"Done correctly, these restorative stretches, working on muscles from your eyes to your toes, really do make you feel better.",2020-05-23T16:30:13+0000,News,1014,4,Simple Stretches to Combat All That Sitting,At Home,
Extreme weather presents an even bigger threat when economies are crashing and ordinary people are stretched to their limits.,2020-05-23T09:00:20+0000,News,867,19,What a Week’s Disasters Tell Us About Climate and the Pandemic,Climate,
"Like so much else, summer internships have been upended by the pandemic, with hundreds of companies canceling their programs and rescinding offers.",2020-05-22T15:12:16+0000,News,1217,1,Another Casualty of the Coronavirus: Summer Internships,Business Day,
"A new study of 129 countries found that the interruption of inoculation efforts could put 80 million babies at risk of getting deadly, preventable diseases.",2020-05-22T15:00:07+0000,News,757,10,Polio and Measles Could Surge After Disruption of Vaccine Programs,Health,
Hair-pulling and self-harm in an age of anxiety.,2020-05-21T16:56:41+0000,News,2063,6,Pulling Out Your Hair? This Might Be the Cause,Fashion & Style,
"Sure, you could make your own. But if you’re in the mood to buy, most of these also include a charitable element.",2020-05-22T17:33:58+0000,News,980,7,9 Splashy Masks to Try On,At Home,
President Trump has insisted that the Republican convention is moving ahead for August despite the coronavirus. But even he has expressed openness to a scaled-down event.,2020-05-21T09:00:18+0000,News,1173,18,G.O.P. Officials Quietly Consider Paring Back Convention,U.S.,Politics
"About now the festival jury would be weighing its choices. So our critics singled out highlights from more than 70 years of festival glory, as well as a few less-than-stellar prizewinners.",2020-05-22T17:41:22+0000,News,1117,4,8 Cannes Film Festival Prizewinners We Love (and 3 We Don’t),Movies,
"As the meat industry struggles to respond to the outbreak, makers of vegan substitutes are ramping up production to meet new interest from shoppers.",2020-05-22T19:16:49+0000,News,1007,3,Plant-Based ‘Meats’ Catch On in the Pandemic,Food,
"Beijing broke with precedent in abandoning an annual growth target for 2020, a sign of the difficulties of restarting its economy amid the coronavirus pandemic.",2020-05-22T01:27:47+0000,News,1166,,"China, Faced With Challenges, Mounts Show of Strength at Congress Session",Business Day,Economy
Suggested reading from critics and editors at The New York Times.,2020-05-21T18:40:02+0000,List,1100,19,8 New Books We Recommend This Week,Books,Book Review
"Trained in the political theater of the 1930s, Ms. Silver was a beloved figure in the puppetry, folk music and environmental worlds.",2020-05-21T21:18:30+0000,Obituary (Obit),650,10,"Bernice Silver, Impish Puppeteer and Activist, Dies at 106",Obituaries,
One landlord reported that 80 percent of retail tenants missed rent at the start of the month. The drop in commercial rent payments could imperil property tax collections that pay for city services.,2020-05-21T17:12:23+0000,News,1203,12,New Threat to New York City: Commercial Rent Payments Plummet,New York,
"Done correctly, these restorative stretches, working on muscles from your eyes to your toes, really do make you feel better.",2020-05-23T16:30:13+0000,News,1014,4,Simple Stretches to Combat All That Sitting,At Home,
"If you’re worried about wiping down grocery bags or disinfecting mailed packages, this C.D.C. guidance might bring some relief. It’s not new information; the agency has been saying this for months.",2020-05-22T20:51:28+0000,News,703,9,"Surfaces Are ‘Not the Main Way’ Coronavirus Spreads, C.D.C. Says",Health,
"Sandra Benites, of the Guaraní Ñandeva people, is using art to bring new visions and voices to the museum world.",2020-05-22T09:00:14+0000,News,1484,14,Brazil’s First Indigenous Curator: ‘We’re Not Afraid Anymore’,Arts,Art & Design
"As Trump hogs the cameras, the homebound presumptive nominee’s video presence is a limbo of “virtual rallies,” glitches and … birds.",2020-05-22T17:13:43+0000,News,1257,20,Biden’s Online Campaign Is Still Loading,Arts,Television
"An interview with PewDiePie, as he comes to grips with his influence.",2020-05-21T20:02:57+0000,News,330,,Six: Impasse,Podcasts,
President Trump’s intelligence briefings have gotten renewed attention since he blamed them for failing to sound the alarm early on about the coronavirus.,2020-05-21T09:00:15+0000,News,1886,1,"For Spy Agencies, Briefing Trump Is a Test of Holding His Attention",U.S.,Politics
"Jia Lynn Yang talks about “One Mighty and Irresistible Tide,” and Judith Newman discusses books that help simplify life.",2020-05-22T20:38:00+0000,News,382,,"Immigration Reform, Past and Present",Books,Book Review
"Sandra Benites, of the Guaraní Ñandeva people, is using art to bring new visions and voices to the museum world.",2020-05-22T09:00:14+0000,News,1484,14,Brazil’s First Indigenous Curator: ‘We’re Not Afraid Anymore’,Arts,Art & Design
"As Trump hogs the cameras, the homebound presumptive nominee’s video presence is a limbo of “virtual rallies,” glitches and … birds.",2020-05-22T17:13:43+0000,News,1257,20,Biden’s Online Campaign Is Still Loading,Arts,Television
"An interview with PewDiePie, as he comes to grips with his influence.",2020-05-21T20:02:57+0000,News,330,,Six: Impasse,Podcasts,
"With over 38 million U.S. unemployment claims in nine weeks, one economist says the situation is “grimmer than we thought.”",2020-05-21T12:42:13+0000,News,1397,1,Many Jobs May Vanish Forever as Layoffs Mount,Business Day,Economy
President Trump’s intelligence briefings have gotten renewed attention since he blamed them for failing to sound the alarm early on about the coronavirus.,2020-05-21T09:00:15+0000,News,1886,1,"For Spy Agencies, Briefing Trump Is a Test of Holding His Attention",U.S.,Politics
"The president falsely described scientific research around the malaria drug, falsely denied the existence of a federal warning against it and argued, with no evidence, that large numbers of health care workers were taking it.",2020-05-21T18:35:47+0000,News,1048,9,Trump’s Inaccurate Claims on Hydroxychloroquine,U.S.,Politics
"With about two million city residents thought to have inadequate food amid the coronavirus outbreak, the city will soon distribute 1.5 million meals a day.",2020-05-21T11:32:54+0000,News,2703,,Nearly 1 in 4 New Yorkers Needs Food as Pandemic Persists,New York,
It has been decreed: The author of the ‘Selection’ series has another best seller.,2020-05-21T09:00:04+0000,List,427,64,"Welcome to Kiera Cass’s Kingdom, Where She Makes the Rules",Books,Book Review
Our writers offer suggestions for what to watch or listen to while we’re housebound.,2020-05-21T16:06:50+0000,News,1326,2,6 Things to Do This Memorial Day Weekend,Arts,
"Jia Lynn Yang talks about “One Mighty and Irresistible Tide,” and Judith Newman discusses books that help simplify life.",2020-05-22T20:38:00+0000,News,382,,"Immigration Reform, Past and Present",Books,Book Review
"The announcement came one day after the Federal Bureau of Investigation said it had opened an investigation into the fatal shooting of Ms. Taylor by three police officers in Louisville, Ky.",2020-05-23T01:24:46+0000,News,864,22,Prosecutors to Drop Charges Against Boyfriend of Breonna Taylor,U.S.,
"Quicker lockdowns would have headed off the worst exponential growth in cities like New York and New Orleans, researchers say.",2020-05-22T00:04:42+0000,briefing,1283,,Coronavirus Briefing: What Happened Today,U.S.,
"I miss the promise the night offers. Liquor bottles standing sentry behind the bartender. The endless possibility in conversations overheard, lives intersecting.",2020-05-21T16:13:30+0000,News,1233,4,What Is New York Without New York Bars?,New York,
The class of 2020 has no idea what the future holds — and neither do we. Here’s a look back at some icons starting on their paths to renown.,2020-05-22T09:01:06+0000,News,1016,,First Inklings of Fame,U.S.,
"Quotation of the Day for Saturday, May 22, 2020.",2020-05-23T02:33:02+0000,Correction,72,3,Quotation of the Day: This Year’s Official Start to Summer Comes With Alarm and Face Masks,Today’s Paper,
Do antibodies from patients who have recovered actually help those struggling with the disease?,2020-05-23T01:04:11+0000,News,389,,Uncertain Results in Study of Convalescent Serum for Covid-19,Health,
"After an article by the former N.H.L. player was published, various hockey players, fans and other stakeholders committed to reckoning with a culture they say cannot be fixed from the top down.",2020-05-23T04:30:06+0000,News,1105,10,Akim Aliu’s Account of Racism Pushes Hockey to Search Its Soul,Sports,Hockey
"President Trump, concerned about his own outlook in the state, plans to stay on the sideline in a race where he favored a different choice for senator.",2020-05-23T00:39:31+0000,News,1255,24,White House Worries About Kelly Loeffler’s Senate Prospects in Georgia,U.S.,Politics
"Watch a celebrity profile or two: A portrait of Lance Armstrong airs on ESPN, while a documentary about Kate Nash is available to rent.",2020-05-24T05:00:06+0000,News,477,7,What’s on TV Sunday: ‘Lance’ and ‘Underestimate the Girl’,Arts,Television
"The economy is reopening, but office buildings remain empty — and may stay that way, permanently.",2020-05-24T11:00:09+0000,News,780,2,The Week in Business: The End of the Office as We Know It,Business Day,
Here’s what you need to know about the week’s top stories.,2020-05-24T10:00:03+0000,briefing,1173,,"Memorial Day, Testing, Hong Kong: Your Weekend Briefing",Briefing,
"Dominic Cummings, the British prime minister’s top adviser, said he behaved “reasonably and legally” in driving for child care needs while coming down with the coronavirus.",2020-05-23T13:34:23+0000,News,1040,9,Outrage Grows Over Boris Johnson Aide’s 260-Mile Trip During Lockdown,World,Europe
"After another weekslong absence from public view, Mr. Kim convened his top military body to promote top aides specializing in nuclear and missile forces.",2020-05-24T06:23:29+0000,News,551,16,Kim Jong-un Moves to Increase North Korea’s Nuclear Strength,World,Asia Pacific
The league is planning to have a three-week season featuring nine teams from July 12 to Aug. 1 at the Greenbrier resort in White Sulphur Springs.,2020-05-24T18:10:48+0000,News,476,7,World TeamTennis Plans to Play Its Entire Season in West Virginia,Sports,Tennis
"Hitchhiking, “bumming” and cross-country drives used to be safe and make us feel cool.",2020-05-25T09:00:11+0000,Op-Ed,980,,Is the Age of the Road Trip Over Forever?,Opinion,
Dress up your letters in all the news that’s fit to print.,2020-05-23T21:00:12+0000,News,264,9,How to Make an Envelope From Newspaper,At Home,
A plan to transform camps into safe retreats for families.,2020-05-25T09:00:17+0000,Op-Ed,902,23,How to Save Sleepaway Camps,Opinion,
"The German government, which will take a 20 percent stake in the airline, said Lufthansa was facing an ‘existential emergency.’",2020-05-25T17:01:38+0000,News,156,,Lufthansa to Receive $10 Billion Bailout,Business Day,
"Faced with the spread of the coronavirus, the government is promoting using serving utensils, but resistance is strong. Sharing food with personal chopsticks is one way Chinese people express intimacy.",2020-05-25T14:25:44+0000,News,1308,4,Coronavirus Threatens China’s Devotion to Chopsticks and Sharing Food,World,Asia Pacific
"The economy is reopening, but office buildings remain empty — and may stay that way, permanently.",2020-05-24T11:00:09+0000,News,780,2,The Week in Business: The End of the Office as We Know It,Business Day,
"Dominic Cummings, the British prime minister’s top adviser, said he behaved “reasonably and legally” in driving for child care needs while coming down with the coronavirus.",2020-05-23T13:34:23+0000,News,1040,9,Outrage Grows Over Boris Johnson Aide’s 260-Mile Trip During Lockdown,World,Europe
"I am isolating in a Mexican village, alternating between being impressed by my capacity for serenity and wanting to strangle myself for descending into triteness of Eat, Pray, Love proportions.",2020-05-24T15:00:07+0000,Op-Ed,1116,,My Futile Struggle for Stillness,Opinion,
"The coronavirus is provoking anti-globalist paranoia, but the real globalism is disintegrating.",2020-05-23T18:33:21+0000,Op-Ed,859,9,The End of the New World Order,Opinion,Sunday Review
An elite cadre of 20th-century syphilis hunters can teach us a lot about what it takes to stop infections.,2020-05-23T15:00:06+0000,Op-Ed,1388,5,Contact Tracing Is Harder Than It Sounds,Sunday Review,
"The coronavirus is provoking anti-globalist paranoia, but the real globalism is disintegrating.",2020-05-23T18:33:21+0000,Op-Ed,859,9,The End of the New World Order,Opinion,Sunday Review
An elite cadre of 20th-century syphilis hunters can teach us a lot about what it takes to stop infections.,2020-05-23T15:00:06+0000,Op-Ed,1388,5,Contact Tracing Is Harder Than It Sounds,Sunday Review,
"I am isolating in a Mexican village, alternating between being impressed by my capacity for serenity and wanting to strangle myself for descending into triteness of Eat, Pray, Love proportions.",2020-05-24T15:00:07+0000,Op-Ed,1116,,My Futile Struggle for Stillness,Opinion,
"The nonprofit newsroom MLK50, founded by Wendi C. Thomas, aims to carry on the work that Martin Luther King Jr. started.",2020-05-25T09:00:15+0000,News,1195,,"In Memphis, Journalism Can Still Bring Justice",Opinion,
"Hitchhiking, “bumming” and cross-country drives used to be safe and make us feel cool.",2020-05-25T09:00:11+0000,Op-Ed,980,,Is the Age of the Road Trip Over Forever?,Opinion,
"The president of Sporting Clube de Portugal, Frederico Varandas, is a former military doctor who returned to duty to assist in the nation’s battle against the coronavirus.",2020-05-23T07:00:09+0000,News,1160,3,The Coronavirus Patient Had a Question: Don’t You Lead a Soccer Team?,Sports,Soccer
Archaeologists said the remains found near the site of a former lake could suggest the animals were hunted after they got stuck in mud.,2020-05-25T21:37:01+0000,News,426,,Remains of 60 Mammoths Found in Mexico,U.S.,
A plan to transform camps into safe retreats for families.,2020-05-25T09:00:17+0000,Op-Ed,902,23,How to Save Sleepaway Camps,Opinion,
"The German government, which will take a 20 percent stake in the airline, said Lufthansa was facing an ‘existential emergency.’",2020-05-25T17:01:38+0000,News,156,,Lufthansa to Receive $10 Billion Bailout,Business Day,
"Corrections that appeared in print on Saturday, May 23, 2020.",2020-05-23T02:30:36+0000,Correction,400,24,"Corrections: May 23, 2020",Corrections,
Buford recounts his intensely focused experiences in restaurant kitchens after moving his family to Lyon.,2020-05-25T18:04:28+0000,Review,1271,5,"In ‘Dirt,’ Bill Buford Goes in Search of French Cuisine’s Secrets",Books,
"From Tammany Hall to ‘Build the Wall,’ the long journey of Irish-American politics.",2020-05-25T09:00:14+0000,Op-Ed,1397,,"Donald Trump, Joe Biden and the Vote of the Irish",Opinion,
"The lawsuit contends that since the Venus Over Manhattan gallery is closed by government orders during the pandemic, the lease should be terminated.",2020-05-24T18:59:38+0000,News,843,3,"Gallery Sues Landlord, Claiming Covid-19 Shutdown Voids Lease",Arts,Art & Design
"The Bugatti Chiron commands a fortune, but for serious car aficionados in the 1 percent, it represents perfection. Perfection that can top out at 261 miles an hour.",2020-05-25T07:00:10+0000,News,1315,7,This Car’s Yearly Tune-Up Costs as Much as a Civic,Business Day,
"Of masks, unmasking and dropping our professional masks for our medical ones.",2020-05-23T18:29:22+0000,Op-Ed,988,9,"Covid Dreams, Trump Nightmares",Opinion,Sunday Review
"With short videos and paid newsletters, everyone from superstars to half-forgotten former athletes and even journalists can, as one tech figure put it, “monetize individuality.”",2020-05-25T00:00:07+0000,News,1588,1,The New Model Media Star Is Famous Only to You,Business Day,Media
"The president threatened to yank the Republican National Convention from Charlotte, N.C. Meatpacking plants are reopening, but data about how many workers are ill is elusive.",2020-05-25T04:01:37+0000,News,4375,,"As the U.S. Honors Memorial Day, Trump Threatens to Move Republican Convention",World,
"Chuck Christian played on some of Michigan’s best teams. More than 40 years later, he sees a connection between a university doctor’s assaults and a dire prognosis.",2020-05-25T04:30:09+0000,News,1716,1,He Thought He Was Getting Football Physicals. He Was Being Abused.,Sports,College Football
"A modified playoff format, restricted practices and other considerations are being discussed between league executives and the players’ union.",2020-05-25T22:42:06+0000,News,863,,National Hockey League Edges Toward Restart With Detailed Plans,Sports,Hockey
We need a president who can admit it when he’s wrong.,2020-05-25T22:00:06+0000,Op-Ed,884,22,In Praise of Fallible Leaders,Opinion,
"Not having an accurate, honest, nationwide way to tally Covid-19 cases will only add to the current tragedy.",2020-05-25T23:00:07+0000,Op-Ed,1120,22,My Mother Died of the Coronavirus. It’s Time She Be Counted.,Opinion,
"As the U.S. reached a grim milestone in the outbreak, The New York Times gathered names of the dead and memories of their lives from obituaries across the country.",2020-05-24T07:38:22+0000,Interactive Feature,0,1,"Remembering the 100,000 Lives Lost to Coronavirus in America",U.S.,
"His Grand Prospect Hall in Brooklyn hosted four decades’ worth of events, and he and his wife, Alice, made the hall’s commercials a late-night TV staple.",2020-05-24T20:12:46+0000,Obituary (Obit),477,10,"Michael Halkias, Who Promised Wish Fulfillment at Banquet Hall, Dies at 82",Obituaries,
"“High Off Life” debuted at the top of the Billboard chart with the equivalent of 153,000 sales in the United States.",2020-05-25T16:34:19+0000,News,251,3,Future Lands a Seventh No. 1 Album,Arts,Music
"Faced with the spread of the coronavirus, the government is promoting using serving utensils, but resistance is strong. Sharing food with personal chopsticks is one way Chinese people express intimacy.",2020-05-25T14:25:44+0000,News,1308,4,Coronavirus Threatens China’s Devotion to Chopsticks and Sharing Food,World,Asia Pacific
"Coronavirus deaths in the United States approached a staggering 100,000, a number the president once predicted would never be reached.",2020-05-24T23:36:16+0000,News,1892,1,"Trump Tweets and Golfs, but Makes No Mention of Virus’s Toll",U.S.,Politics
"Governor Cuomo, on the deck of the U.S.S. Intrepid, said the state would pay benefits to the families of workers who died while fighting the virus.",2020-05-25T12:26:46+0000,News,1572,,New Yorkers Mark a Subdued Memorial Day,New York,
Uncertainty about the coronavirus and the challenge of protecting audiences and artists is prompting many prominent presenters to wait till next year.,2020-05-24T16:07:51+0000,News,1719,1,The Fall of Autumn: Live Performance Producers Are Giving Up on 2020,Arts,
Some must consider their own underlying health conditions that make them particularly susceptible to the coronavirus.,2020-05-23T09:00:25+0000,News,1492,29,"As Sports Begin Reopening, Athletes Weigh the Health Risks",Sports,
"If President Desi Bouterse can hang on to immunity, past crimes could become just another chapter in his four-decade battle to stay in power.",2020-05-24T21:40:01+0000,News,1181,17,Suriname’s President Shrugs Off Murder Sentence in Re-election Bid,World,Americas
"Nonessential workers are embracing leisure wear, saying it makes them feel not just relaxed but powerful.",2020-05-25T09:00:14+0000,News,886,,Business Casual? It’s Robes and Slippers All Day Now,Style,
Protesters have long said threats and abductions by militias were routine. United Nations investigators have begun to substantiate the claims.,2020-05-23T15:55:11+0000,News,654,18,U.N. Documents Abductions and Torture Of Iraqi Protesters,World,Middle East
The animated film follows a gay man’s journey into acceptance as he prepares to move into a city with his boyfriend.,2020-05-24T19:21:09+0000,News,617,19,Pixar Short Film ‘Out’ Features Studio’s First Gay Main Character,Arts,
Twenty large chains received more than $5 billion in federal grants even while sitting on more than $100 billion in cash.,2020-05-25T09:00:16+0000,News,1668,1,Wealthiest Hospitals Got Billions in Bailout for Struggling Health Providers,Business Day,
It is time to rename bases for American heroes — not racist traitors.,2020-05-23T18:30:08+0000,Editorial,2004,8,Why Does the U.S. Military Celebrate White Supremacy?,Opinion,Sunday Review
Gaza reports its first coronavirus death. New York is allowing gatherings of up to 10.,2020-05-23T04:02:06+0000,News,8584,,"Pandemic Swells in South America, as the U.S. Nears 100,000 Deaths",World,
"“Shared sacrifice” in the white-collar ranks aims to avoid the cost of staffing up again. With no end to the crisis in sight, it is a leap of faith.",2020-05-24T09:00:12+0000,News,1555,1,Pay Cuts Become a Tool for Some Companies to Avoid Layoffs,Business Day,Economy
"Brazil’s leader, a coronavirus skeptic, has mocked public health measures. Now, with deaths skyrocketing, his ally President Trump has closed the door.",2020-05-25T01:54:36+0000,News,449,,"U.S. Bans Flights From Brazil, Where Pandemic Is Raging",World,Americas
"In Remy Lai’s “Fly on the Wall,” an overprotected boy who feels invisible at school creates an eavesdropping alter ego.",2020-05-23T06:31:07+0000,Review,688,62,Going Places: An Anonymous Gossip Cartoonist With Buzz,Books,Book Review
"In Lucy Knisley’s “Stepping Stones,” a city girl faces her fears about farming, family life and evil stepsisters.",2020-05-23T06:26:21+0000,Review,677,62,A Comics-Obsessed Cinderella Down on the Farm,Books,Book Review
"When her roommates moved out during the coronavirus lockdown, a Brooklynite negotiated with her landlord and is making the best of the situation.",2020-05-25T09:00:14+0000,News,1159,7,All Alone in a Three-Bedroom Apartment,Real Estate,
"Gabrielle Hamilton’s recipe for the drink, Yewande Komolafe’s baked tofu, and more recipes.",2020-05-23T14:30:01+0000,News,37,,This Bloody Mary Is Just as Good Without Alcohol,Admin,
"Crowded parks, beaches and hiking trails can bring out our anxieties. A bit of preparation can help.",2020-05-23T09:00:08+0000,News,1245,,Going Outside This Weekend? Don’t Freak Out,Style,
Andrew Chaikin’s Sunday puzzle shines bright.,2020-05-23T21:40:06+0000,News,1524,,The Mystery of McGuffin Manor,Crosswords & Games,
"With timed tickets and limited entry, each visitor to the Museum of Fine Arts, Houston had a studio apartment’s worth of space to themselves.",2020-05-23T20:36:53+0000,News,970,21,Less Is More as an Art Museum Reopens,Arts,Art & Design
The blogger motivating men to care about emotional labor.,2020-05-23T13:00:02+0000,News,537,,Can a Coach Save You From Divorce?,Parenting,
"Flacco, who was named the Super Bowl’s most valuable player in 2013, has agreed to a one-year deal, according to his agency.",2020-05-23T04:20:59+0000,News,494,,Jets Get Joe Flacco as a Backup for Sam Darnold,Sports,
